car_id,score
car001,0
car002,0
car010,0
car013,0
car018,0
car020,0
car026,0
car030,0
car034,0
car037,0
car041,1
car044,1
car046,1
car050,1
car052,1
car055,1
car056,1
car060,1
car062,2
car065,2
car069,2
car070,2
car072,2
car074,2
car076,3
car078,3
car081,3
car082,3
car085,3
car087,4
car088,4
car089,4
car092,0
car093,0
car094,0
car095,2
car096,2
car097,3
car098,4
car099,0
car100,1
car102,2
car103,3
car104,4
car105,0
car106,3
car107,2
car108,3
car109,4
car110,0
car111,1
car112,2
car113,3
car114,4
car115,3
car116,2
car117,3
car118,4
car119,3
car120,2
car121,3
car122,4
car123,2
car124,3
car125,4
car126,3
car127,4
